"","workerid","trial_num","Category","Property","response"
"1",0,1,"Sharks","lay eggs",0.05
"2",0,3,"Tigers","dont eat people",0.04
"3",0,5,"Ticks","dont carry Lyme disease",0.04
"4",0,6,"Robins","are female",0.5
"5",0,7,"Lions","have manes",0.84
"6",0,9,"Ducks","have wings",0.28
"7",0,10,"Peacocks","dont have beautiful feathers",0.03
"8",0,11,"Mosquitos","dont carry malaria",0.11
"9",0,12,"Tigers","have pouches",0.06
"10",0,13,"Kangaroos","have spots",0.06
"11",0,16,"Mosquitos","carry malaria",0.86
"12",0,18,"Robins","lay eggs",0.31
"13",0,19,"Leopards","have wings",0.04
"14",0,21,"Sharks","are white",0.3
"15",0,22,"Sharks","have manes",0.05
"16",0,23,"Leopards","have spots",0.72
"17",0,24,"Kangaroos","are juvenile",0.06
"18",0,27,"Sharks","dont attack swimmers",0.21
"19",0,28,"Peacocks","have beautiful feathers",0.64
"20",0,30,"Ticks","carry Lyme disease",0.81
"21",0,31,"Cardinals","are red",0.61
"22",0,32,"Kangaroos","have pouches",0.75
"23",0,33,"Leopards","are full-grown",0.35
"24",0,34,"Mosquitos","attack swimmers",0
"25",0,35,"Lions","are male",0.4
"26",0,36,"Swans","are white",0.35
"27",0,37,"Robins","carry malaria",0.04
"28",0,38,"Lions","lay eggs",0
"29",0,39,"Sharks","attack swimmers",0.62
"30",0,40,"Tigers","eat people",0.5
"31",1,1,"Kangaroos","are juvenile",0.19
"32",1,2,"Mosquitos","attack swimmers",0.95
"33",1,3,"Tigers","have pouches",0
"34",1,4,"Mosquitos","dont carry malaria",0.05
"35",1,5,"Sharks","have manes",0
"36",1,6,"Tigers","eat people",0.65
"37",1,8,"Sharks","are white",0.78
"38",1,10,"Swans","are white",0.98
"39",1,11,"Cardinals","are red",0.98
"40",1,12,"Tigers","dont eat people",0.67
"41",1,14,"Leopards","have spots",1
"42",1,16,"Sharks","have manes",0
"43",1,17,"Robins","are female",0.7
"44",1,18,"Peacocks","dont have beautiful feathers",0.23
"45",1,19,"Kangaroos","have pouches",1
"46",1,21,"Leopards","are full-grown",0.68
"47",1,22,"Ticks","carry Lyme disease",1
"48",1,23,"Lions","are male",0.68
"49",1,24,"Leopards","have wings",0
"50",1,25,"Sharks","attack swimmers",0.96
"51",1,26,"Ducks","have wings",1
"52",1,27,"Mosquitos","carry malaria",1
"53",1,30,"Peacocks","have beautiful feathers",0.99
"54",1,31,"Lions","have manes",1
"55",1,33,"Sharks","dont attack swimmers",0.61
"56",1,34,"Ticks","dont carry Lyme disease",0.26
"57",1,35,"Lions","lay eggs",0
"58",1,37,"Robins","carry malaria",0
"59",1,38,"Kangaroos","have spots",0.04
"60",1,39,"Sharks","lay eggs",0.94
"61",1,40,"Robins","lay eggs",0.94
"62",2,1,"Ducks","have wings",0.73
"63",2,2,"Mosquitos","dont carry malaria",0.1
"64",2,3,"Lions","have manes",1
"65",2,4,"Mosquitos","attack swimmers",0.65
"66",2,5,"Ticks","carry Lyme disease",1
"67",2,6,"Leopards","have spots",0.84
"68",2,8,"Sharks","have manes",0
"69",2,9,"Robins","are female",0.51
"70",2,11,"Kangaroos","have pouches",0.82
"71",2,12,"Kangaroos","have spots",0.08
"72",2,13,"Leopards","have wings",0
"73",2,14,"Mosquitos","carry malaria",0.93
"74",2,15,"Kangaroos","have pouches",0.9
"75",2,16,"Sharks","dont attack swimmers",0.06
"76",2,18,"Peacocks","dont have beautiful feathers",0.16
"77",2,19,"Tigers","have pouches",0.04
"78",2,21,"Mosquitos","carry malaria",0.93
"79",2,23,"Sharks","attack swimmers",0.86
"80",2,24,"Kangaroos","are juvenile",0.64
"81",2,25,"Cardinals","are red",0.98
"82",2,26,"Sharks","are white",0.6
"83",2,27,"Lions","are male",0.53
"84",2,28,"Lions","lay eggs",0
"85",2,29,"Sharks","lay eggs",0
"86",2,30,"Leopards","are full-grown",0.58
"87",2,31,"Swans","are white",0.94
"88",2,32,"Tigers","dont eat people",0.27
"89",2,33,"Robins","lay eggs",1
"90",2,34,"Peacocks","have beautiful feathers",0.94
"91",2,35,"Leopards","are full-grown",0.64
"92",2,36,"Robins","carry malaria",0.06
"93",2,38,"Ticks","dont carry Lyme disease",0.08
"94",2,39,"Tigers","eat people",0.87
"95",3,1,"Kangaroos","have pouches",1
"96",3,2,"Tigers","dont eat people",0
"97",3,4,"Ticks","carry Lyme disease",0.98
"98",3,5,"Ducks","have wings",0.97
"99",3,6,"Sharks","lay eggs",0.49
"100",3,7,"Leopards","have wings",0.01
"101",3,8,"Robins","lay eggs",0.97
"102",3,9,"Tigers","eat people",0.96
"103",3,12,"Lions","lay eggs",0.05
"104",3,13,"Kangaroos","have spots",0.02
"105",3,14,"Robins","carry malaria",0.77
"106",3,15,"Sharks","have manes",0.04
"107",3,16,"Lions","are male",0.56
"108",3,17,"Mosquitos","dont carry malaria",0.55
"109",3,19,"Lions","have manes",0.96
"110",3,21,"Tigers","have pouches",0.05
"111",3,22,"Robins","are female",0.74
"112",3,23,"Peacocks","have beautiful feathers",1
"113",3,24,"Kangaroos","have pouches",0.94
"114",3,25,"Sharks","dont attack swimmers",0.25
"115",3,26,"Cardinals","are red",1
"116",3,27,"Mosquitos","attack swimmers",0
"117",3,28,"Peacocks","dont have beautiful feathers",0
"118",3,29,"Sharks","are white",0.84
"119",3,30,"Kangaroos","are juvenile",0.32
"120",3,31,"Ticks","dont carry Lyme disease",0.15
"121",3,33,"Mosquitos","carry malaria",0.93
"122",3,34,"Sharks","attack swimmers",0.57
"123",3,35,"Swans","are white",0.95
"124",3,36,"Leopards","are full-grown",0.74
"125",3,40,"Leopards","have spots",0.96
"126",4,2,"Swans","are white",1
"127",4,3,"Tigers","dont eat people",0.49
"128",4,5,"Lions","are male",0.63
"129",4,7,"Mosquitos","dont carry malaria",0.08
"130",4,8,"Kangaroos","have spots",0
"131",4,9,"Kangaroos","are juvenile",0.25
"132",4,10,"Robins","lay eggs",0.76
"133",4,11,"Leopards","have wings",0
"134",4,12,"Cardinals","are red",0.8
"135",4,13,"Sharks","are white",0.52
"136",4,14,"Sharks","attack swimmers",0.83
"137",4,15,"Robins","are female",0.69
"138",4,16,"Tigers","eat people",0.75
"139",4,17,"Leopards","are full-grown",0.47
"140",4,19,"Robins","carry malaria",0
"141",4,21,"Ticks","dont carry Lyme disease",0.18
"142",4,22,"Mosquitos","carry malaria",0.89
"143",4,24,"Peacocks","dont have beautiful feathers",0.03
"144",4,25,"Sharks","have manes",0
"145",4,26,"Sharks","lay eggs",0
"146",4,28,"Lions","have manes",1
"147",4,29,"Sharks","dont attack swimmers",0
"148",4,30,"Ducks","have wings",0.65
"149",4,32,"Tigers","have pouches",0
"150",4,34,"Peacocks","have beautiful feathers",1
"151",4,36,"Leopards","have spots",0.69
"152",4,37,"Kangaroos","have pouches",0.88
"153",4,38,"Lions","lay eggs",0
"154",4,39,"Mosquitos","attack swimmers",0.42
"155",4,40,"Ticks","carry Lyme disease",0.8
"156",5,1,"Sharks","attack swimmers",0.5
"157",5,3,"Mosquitos","dont carry malaria",0.02
"158",5,4,"Leopards","have wings",0.01
"159",5,6,"Ticks","carry Lyme disease",1
"160",5,8,"Tigers","eat people",0.4
"161",5,9,"Kangaroos","are juvenile",0
"162",5,10,"Kangaroos","have pouches",1
"163",5,11,"Robins","carry malaria",0.14
"164",5,14,"Peacocks","have beautiful feathers",1
"165",5,15,"Swans","are white",1
"166",5,16,"Sharks","are white",0.42
"167",5,17,"Sharks","have manes",0
"168",5,19,"Leopards","have spots",1
"169",5,20,"Ducks","have wings",0.49
"170",5,21,"Tigers","dont eat people",0.01
"171",5,22,"Lions","are male",1
"172",5,23,"Robins","lay eggs",1
"173",5,24,"Sharks","lay eggs",0.52
"174",5,25,"Leopards","are full-grown",1
"175",5,26,"Sharks","dont attack swimmers",1
"176",5,27,"Peacocks","dont have beautiful feathers",0.55
"177",5,28,"Robins","are female",0.51
"178",5,29,"Lions","lay eggs",0.53
"179",5,30,"Kangaroos","have spots",0.08
"180",5,31,"Lions","have manes",1
"181",5,32,"Cardinals","are red",1
"182",5,33,"Mosquitos","carry malaria",1
"183",5,34,"Sharks","are white",1
"184",5,35,"Mosquitos","attack swimmers",0.55
"185",5,36,"Tigers","have pouches",0.22
"186",5,40,"Ticks","dont carry Lyme disease",0
"187",6,1,"Leopards","have wings",0
"188",6,2,"Cardinals","are red",0.78
"189",6,3,"Robins","lay eggs",0.5
"190",6,5,"Sharks","have manes",0
"191",6,6,"Robins","are female",0.52
"192",6,7,"Kangaroos","have spots",0.04
"193",6,11,"Ducks","have wings",0.51
"194",6,12,"Sharks","lay eggs",0.33
"195",6,13,"Mosquitos","carry malaria",0.94
"196",6,15,"Sharks","are white",0.34
"197",6,16,"Mosquitos","attack swimmers",0.08
"198",6,17,"Sharks","attack swimmers",0.96
"199",6,18,"Ticks","dont carry Lyme disease",0.06
"200",6,19,"Tigers","dont eat people",0.19
"201",6,21,"Kangaroos","have pouches",0.82
"202",6,23,"Tigers","eat people",0.32
"203",6,24,"Kangaroos","are juvenile",0.12
"204",6,25,"Leopards","are full-grown",0.11
"205",6,26,"Peacocks","have beautiful feathers",0.89
"206",6,27,"Lions","lay eggs",0
"207",6,28,"Swans","are white",0.79
"208",6,31,"Tigers","have pouches",0
"209",6,33,"Ticks","carry Lyme disease",0.98
"210",6,34,"Sharks","dont attack swimmers",0.08
"211",6,35,"Lions","have manes",0.96
"212",6,36,"Lions","are male",0.14
"213",6,37,"Robins","carry malaria",0
"214",6,38,"Leopards","have spots",0.82
"215",6,39,"Peacocks","dont have beautiful feathers",0.04
"216",6,40,"Mosquitos","dont carry malaria",0.04
"217",7,1,"Swans","are white",0.52
"218",7,2,"Sharks","attack swimmers",0.7
"219",7,4,"Kangaroos","are juvenile",0.27
"220",7,5,"Ticks","dont carry Lyme disease",0.19
"221",7,6,"Kangaroos","have spots",0.13
"222",7,7,"Lions","are male",0.38
"223",7,8,"Kangaroos","have pouches",0.78
"224",7,10,"Peacocks","dont have beautiful feathers",0.26
"225",7,12,"Sharks","dont attack swimmers",0.18
"226",7,13,"Mosquitos","dont carry malaria",0.3
"227",7,14,"Lions","have manes",0.87
"228",7,16,"Sharks","are white",0.42
"229",7,17,"Leopards","are full-grown",0.39
"230",7,19,"Peacocks","have beautiful feathers",0.63
"231",7,21,"Leopards","have spots",0.72
"232",7,22,"Mosquitos","carry malaria",0.56
"233",7,23,"Tigers","eat people",0.34
"234",7,25,"Tigers","dont eat people",0.64
"235",7,26,"Sharks","lay eggs",0.29
"236",7,27,"Robins","are female",0.58
"237",7,28,"Tigers","have pouches",0.19
"238",7,29,"Mosquitos","attack swimmers",0.21
"239",7,30,"Ducks","have wings",0.59
"240",7,32,"Robins","carry malaria",0.19
"241",7,33,"Leopards","have wings",0.26
"242",7,34,"Cardinals","are red",0.63
"243",7,37,"Robins","lay eggs",0.11
"244",7,38,"Sharks","have manes",0.18
"245",7,39,"Lions","lay eggs",0.2
"246",7,40,"Ticks","carry Lyme disease",0.7
"247",8,1,"Ticks","dont carry Lyme disease",0.28
"248",8,2,"Cardinals","are red",0.61
"249",8,5,"Lions","are male",0.19
"250",8,6,"Sharks","lay eggs",0.02
"251",8,7,"Kangaroos","have pouches",0.7
"252",8,11,"Ducks","have wings",0.6
"253",8,12,"Mosquitos","carry malaria",0.62
"254",8,13,"Robins","carry malaria",0
"255",8,14,"Tigers","have pouches",0
"256",8,15,"Tigers","eat people",0.61
"257",8,16,"Ticks","carry Lyme disease",0.78
"258",8,19,"Kangaroos","are juvenile",0.24
"259",8,20,"Sharks","attack swimmers",0.8
"260",8,21,"Sharks","have manes",0
"261",8,22,"Kangaroos","have spots",0
"262",8,23,"Leopards","have spots",0.81
"263",8,24,"Mosquitos","attack swimmers",0.17
"264",8,26,"Lions","lay eggs",0
"265",8,27,"Robins","lay eggs",0.36
"266",8,28,"Swans","are white",0.51
"267",8,29,"Lions","have manes",0.32
"268",8,30,"Leopards","have wings",0
"269",8,31,"Mosquitos","dont carry malaria",0.05
"270",8,32,"Peacocks","dont have beautiful feathers",0
"271",8,33,"Sharks","dont attack swimmers",0
"272",8,34,"Peacocks","have beautiful feathers",0.73
"273",8,36,"Sharks","are white",0
"274",8,38,"Leopards","are full-grown",0.12
"275",8,39,"Robins","are female",0.11
"276",8,40,"Tigers","dont eat people",0
"277",9,1,"Tigers","dont eat people",0.07
"278",9,2,"Kangaroos","are juvenile",0.22
"279",9,4,"Leopards","are full-grown",0.13
"280",9,5,"Sharks","lay eggs",0.04
"281",9,7,"Tigers","have pouches",0.01
"282",9,8,"Robins","are female",0.5
"283",9,9,"Lions","are male",0.41
"284",9,10,"Sharks","dont attack swimmers",0.33
"285",9,11,"Ticks","carry Lyme disease",0.88
"286",9,12,"Sharks","lay eggs",0.29
"287",9,13,"Swans","are white",0.41
"288",9,14,"Sharks","attack swimmers",0.66
"289",9,15,"Sharks","are white",0.11
"290",9,16,"Robins","lay eggs",0.51
"291",9,19,"Lions","lay eggs",0.01
"292",9,20,"Leopards","have wings",0.01
"293",9,21,"Sharks","have manes",0.02
"294",9,22,"Mosquitos","carry malaria",0.93
"295",9,23,"Peacocks","dont have beautiful feathers",0.03
"296",9,24,"Kangaroos","have pouches",0.92
"297",9,25,"Cardinals","are red",0.88
"298",9,26,"Mosquitos","dont carry malaria",0.36
"299",9,29,"Lions","have manes",0.43
"300",9,30,"Mosquitos","attack swimmers",0.57
"301",9,31,"Leopards","have spots",0.73
"302",9,32,"Tigers","eat people",0.6
"303",9,33,"Peacocks","have beautiful feathers",0.87
"304",9,34,"Robins","are female",0.52
"305",9,35,"Ticks","dont carry Lyme disease",0.25
"306",9,36,"Ducks","have wings",0.24
"307",9,37,"Kangaroos","have spots",0.07
"308",9,38,"Robins","carry malaria",0.05
"309",10,1,"Robins","lay eggs",0.51
"310",10,2,"Peacocks","dont have beautiful feathers",0.02
"311",10,4,"Kangaroos","have spots",0.12
"312",10,5,"Mosquitos","dont carry malaria",0.02
"313",10,6,"Mosquitos","carry malaria",0.95
"314",10,7,"Ticks","carry Lyme disease",0.97
"315",10,8,"Sharks","are white",0.16
"316",10,9,"Sharks","attack swimmers",0.9
"317",10,10,"Robins","carry malaria",0.02
"318",10,11,"Ducks","have wings",0.23
"319",10,13,"Tigers","dont eat people",0.04
"320",10,17,"Tigers","eat people",0.24
"321",10,18,"Tigers","have pouches",0.01
"322",10,19,"Sharks","dont attack swimmers",0.02
"323",10,20,"Cardinals","are red",0.55
"324",10,22,"Kangaroos","are juvenile",0.1
"325",10,23,"Sharks","have manes",0.01
"326",10,24,"Swans","are white",0.36
"327",10,25,"Leopards","have wings",0.01
"328",10,26,"Leopards","have spots",0.28
"329",10,27,"Mosquitos","attack swimmers",0
"330",10,28,"Sharks","lay eggs",0
"331",10,30,"Lions","are male",0.18
"332",10,31,"Lions","have manes",0.77
"333",10,33,"Robins","are female",0.12
"334",10,35,"Lions","lay eggs",0.01
"335",10,36,"Leopards","are full-grown",0.27
"336",10,37,"Ticks","dont carry Lyme disease",0.05
"337",10,38,"Kangaroos","have pouches",0.85
"338",10,39,"Peacocks","have beautiful feathers",0.9
"339",11,1,"Tigers","eat people",0.98
"340",11,2,"Tigers","dont eat people",0.01
"341",11,3,"Sharks","lay eggs",0.5
"342",11,4,"Leopards","have spots",0.89
"343",11,6,"Lions","lay eggs",0.01
"344",11,8,"Sharks","have manes",0.01
"345",11,11,"Kangaroos","have spots",0.02
"346",11,12,"Peacocks","have beautiful feathers",0.85
"347",11,14,"Leopards","are full-grown",0.5
"348",11,15,"Robins","carry malaria",0.14
"349",11,16,"Sharks","are white",0.49
"350",11,17,"Sharks","attack swimmers",0.92
"351",11,19,"Kangaroos","have pouches",0.93
"352",11,20,"Sharks","have manes",0.01
"353",11,21,"Leopards","have wings",0.01
"354",11,22,"Sharks","dont attack swimmers",0.11
"355",11,23,"Leopards","have spots",0.9
"356",11,24,"Mosquitos","attack swimmers",0.98
"357",11,26,"Mosquitos","dont carry malaria",0.05
"358",11,27,"Ticks","dont carry Lyme disease",0.03
"359",11,28,"Peacocks","dont have beautiful feathers",0.01
"360",11,29,"Ticks","carry Lyme disease",0.98
"361",11,30,"Lions","have manes",0.99
"362",11,31,"Ducks","have wings",0.49
"363",11,32,"Kangaroos","are juvenile",0.48
"364",11,33,"Cardinals","are red",0.8
"365",11,34,"Tigers","have pouches",0.03
"366",11,35,"Robins","are female",0.5
"367",11,36,"Mosquitos","carry malaria",0.97
"368",11,37,"Swans","are white",0.76
"369",11,38,"Lions","are male",0.5
"370",11,40,"Robins","lay eggs",0.78
"371",12,1,"Lions","are male",0.5
"372",12,2,"Kangaroos","are juvenile",0.56
"373",12,3,"Ticks","dont carry Lyme disease",0.06
"374",12,4,"Tigers","eat people",0.61
"375",12,5,"Leopards","have spots",0.75
"376",12,6,"Mosquitos","attack swimmers",0.86
"377",12,7,"Robins","lay eggs",0.49
"378",12,9,"Tigers","dont eat people",0.08
"379",12,10,"Leopards","have wings",0
"380",12,12,"Kangaroos","have spots",0.12
"381",12,14,"Sharks","lay eggs",0.16
"382",12,15,"Swans","are white",0.64
"383",12,16,"Cardinals","are red",0.67
"384",12,17,"Leopards","are full-grown",0.49
"385",12,18,"Ducks","have wings",0.5
"386",12,19,"Kangaroos","have pouches",0.84
"387",12,21,"Tigers","have pouches",0
"388",12,22,"Peacocks","have beautiful feathers",0.75
"389",12,24,"Ticks","carry Lyme disease",1
"390",12,25,"Lions","lay eggs",0
"391",12,27,"Peacocks","have beautiful feathers",1
"392",12,28,"Lions","have manes",0.8
"393",12,29,"Sharks","attack swimmers",0.9
"394",12,30,"Sharks","are white",0.5
"395",12,31,"Peacocks","dont have beautiful feathers",0.39
"396",12,32,"Sharks","dont attack swimmers",0.16
"397",12,33,"Robins","are female",0.5
"398",12,34,"Robins","carry malaria",0.04
"399",12,35,"Mosquitos","dont carry malaria",0.19
"400",12,36,"Sharks","have manes",0
"401",12,40,"Mosquitos","carry malaria",0.78
"402",13,1,"Sharks","are white",0.09
"403",13,5,"Kangaroos","are juvenile",0.21
"404",13,6,"Swans","are white",0.69
"405",13,7,"Swans","are white",0.74
"406",13,9,"Mosquitos","dont carry malaria",0.11
"407",13,10,"Robins","lay eggs",0.77
"408",13,11,"Cardinals","are red",0.87
"409",13,12,"Peacocks","have beautiful feathers",0.69
"410",13,13,"Leopards","have spots",0.27
"411",13,14,"Ticks","dont carry Lyme disease",0.13
"412",13,15,"Kangaroos","have spots",0
"413",13,17,"Peacocks","dont have beautiful feathers",0.01
"414",13,18,"Sharks","have manes",0
"415",13,19,"Robins","carry malaria",0
"416",13,20,"Leopards","have wings",0
"417",13,21,"Ticks","carry Lyme disease",0.23
"418",13,22,"Lions","are male",0.38
"419",13,23,"Tigers","have pouches",0
"420",13,25,"Tigers","eat people",0.16
"421",13,26,"Tigers","dont eat people",0.35
"422",13,27,"Kangaroos","have pouches",1
"423",13,28,"Mosquitos","carry malaria",0.18
