workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
0,English,0,Male,21,,,Yes,Yes,2
1,Chinese,0,Male,22,No.,,Yes,0.35,3
2,English,1,Male,32,No,Thanks and good luck!,Yes,.35,3
3,english,1,Male,22,no problems,,No,.35,1
4,Chinese,0,Male,23,No,,Yes,.50,3
5,English,0,Male,27,In the first 3 or so questions there was a delayed response that made me hit p too many times,,Yes,.35,2
6,English,1,Male,25,There were no problems or bugs. Besides the mosquitos :P,Thank you.,Yes,Yes,2
7,English,1,Male,30,No.,None. ,Yes,.035,2
8,English,0,Male,27,none,,Yes,.50,1
9,English,0,Female,39,no,"Well, I was pretty sure I selected the correct buttons until you asked me. Then I wasn&quotechart so sure. But I am still pretty sure.",Yes,40,2
10,english,1,Male,29,No.,,Yes,40 cents,2
11,English,1,Male,40,,,Yes,0.35,2
12,english,1,Female,28,NA,NA,Yes,yes,4
13,English,0,Male,67,None of which I was aware.,"Thanks for letting me participate. Thanks, too, for adding to our body of knowledge.
",NA,yes,4
14,English,1,Female,20,No.,,Yes,.35,2
15,English,1,Male,23,No,,Yes,.40,2
16,english,1,Male,19,no,,No,yes,2
17,English,1,Male,41,No,,Yes,.50,4
18,English,1,Male,28,No problems,,Yes,35 cents is more than fair.,1
19,Russian,1,Female,37,"In the beginning survey froze even after I pressed ""Q"" or ""P"" buttons on my keyboard.",Interesting. Thank you!,Yes,.45,3
20,English,0,Male,26,,Was doing it quickly and made some mistakes.,No,yes,3
21,English and Cantonese,1,Female,27,No.,,Yes,0.30,3
22,English,1,Female,21,None.,Really enjoyed this HIT. Thank you.,Yes,0.40,2
23,english,1,Female,37,no,,Yes,.35,1
24,English,0,Male,22,no problems,"No comments, thanks!",Yes,0.35,1
25,English,1,Female,28,"Yes, my Q key stuck for a second",,Yes,.25,3
26,english,1,Male,22,no,,Yes,0.35,2
27,english ,0,Male,19,none,none,Yes,1.00,2
28,english,1,Female,32,none,,Yes,.35,3
29,English,0,Male,30,nope,,Yes,.35,3
30,English,1,Female,25,No,This was hard - very few of the statements were always true or always false.,No,0.30,3
31,English,1,Female,25,,,Yes,yes,2
32,English,1,Male,20,no,,Yes,.35,2
33,English,1,Female,29,No,"Honest, I think the pay was fair and it was much nicer than filling in pages and pages of bubbles. Thank you!",Yes,35 cents,2
34,English,0,Female,43,no,,Yes,0.50,4
35,English,1,Female,36,"I read the instructions, but when I got to the end, I think I might have been pressing the exactly opposite buttons to what was originally directed, thinking of left for agree and right for disagree. ",,Confused,.35,4
36,English,0,,37,,,Yes,0.35,1
37,English,-1,Male,25,no,no,Yes,.70,3
38,Bulgarian,1,Male,30,Not really,,Yes,.40,3
39,Spanish,1,Male,29,None,,Yes,0.35,1
40,english,1,Female,34,,,Yes,40,4
41,"Romanian, English",1,Male,28,,,Yes,.35,2
42,english,0,Male,35,no,,Yes,50 cents,2
43,english,0,Male,43,none,none,Yes,.50,2
44,English,1,Female,42,,,Yes,.35,3
45,english,1,Male,25,no,,Yes,35,2
46,English,1,Male,24,,,No,.35,3
47,English,0,Male,20,,"Many of the questions could be answered with an agree or disagree. For example, tigers can and have eaten people, but they normally do not. ",Yes,$.35,2
48,English,1,Male,26,no,,Yes,40 cents,2
49,English,0,Female,50,no,,Yes,.50,4
50,English,0,Female,36,,,No,.35,4
51,English,1,Male,23,no,,Yes,40 cents,3
52,English,1,Male,29,,"Leopards don&quotechart have wings, sorry about that one.",Yes,.25,3
53,Engllish,1,Female,58,No.,,Yes,$.40,3
54,English,1,Male,19,I might&quotecharve messed up on some. Was going a bit fast.,,Yes,.35,2
55,English,1,Female,32,no,,Yes,.25,2
56,english,1,Female,57,no,,Yes,.35,3
57,English,1,Male,44,No,No,Yes,50 cents,2
58,English,1,Male,41,No issues.,n/a,Yes,35,2
59,"Chinese, English",0,Female,19,no,,Yes,0.50,2
60,English,1,Female,27,,,Yes,.30,1
61,english,1,Male,38,no,no,Yes,.35,4
62,english,1,Female,28,no,,Yes,0.35,4
63,English,0,Female,24,No.,,Yes,.35,3
64,English,1,Male,21,,Thanks!  I accidentally clicked either p or q twice instead of once and it double selected.,Yes,.30,2
65,English,1,Male,36,N/A,N/A,Yes,0.30,2
66,English,0,Male,35,,,Yes,.30,3
67,English,1,Male,52,,,Confused,0.35,2
68,English,1,Male,25,No,,Yes,.35,3
69,english,0,Male,31,,,Yes,.40,3
70,english,1,Male,35,no,,Yes,.20,2
71,English,-1,Male,35,No.,,No,.40,3
72,English,1,Male,30,Some statements didn&quotechart seem appropriate for agree/disagree,,Yes,0.50,4
73,English,1,Male,30,No,Thank you!,Yes,$0.35 is fair.,3
74,English,0,Female,28,None,None :),Yes,40 cents,4
75,English,0,Male,22,No,Not at this time.,Yes,0.40,2
76,English,0,Male,42,no,,Yes,.40,3
77,English,0,Male,18,None,,Yes,Yes,2
78,English,1,Male,24,,,Yes,$0.50,1
79,English,1,Male,33,No prblems,thanks,Yes,yes,4
80,english,1,Female,24,no,,Yes,.35,2
81,english,0,Male,23,nope,nope,Yes,pention,3
82,English,1,Male,34,,,Yes,1.00,4
83,English,1,Male,40,NO,,Yes,.20,3
84,English,0,Female,32,,,Yes,0.30,2
85,English,0,Male,29,no,,No,yes,2
86,English,0,Female,27,No.,Some of the questions stumped me and some I accidentally hit the wrong button.,Yes,.50,2
87,english,1,Male,31,no,,NA,yes,4
88,English,1,Male,28,no problems.,,Yes,.30,2
89,english,1,Female,49,no,none,Yes,.5,3
90,English,1,Female,28,"The first statement took a while to change so I clicked on Q again, but I think it may have answered the second statement instead.",NA,Yes,.35,4
91,English,1,Male,24,No,,Yes,$0.30,2
92,English,0,Male,36,None that I found.,This was nice.  I would like to do similar ones.,Yes,0.50,3
93,English,1,Male,24,No.,No.,Yes,Yes.,2
94,English,0,Male,35,None,None,Yes,Yes,1
95,English,1,Female,31,no,none,Yes,yes,3
96,English,1,Female,28,,,Yes,.35,3
97,English,0,Male,25,none,great,Yes,,3
98,english,1,Male,22,,,No,.35,1
99,English,1,Female,18,,,Yes,,2
